REF_DATE,City,Age group,Gender,VALUE
1980,Winnipeg,25 to 34 years,Homme,60200.0
1980,Winnipeg,25 to 34 years,Femme,35300.0
1980,Winnipeg,35 to 44 years,Homme,78100.0
1980,Winnipeg,35 to 44 years,Femme,37600.0
1980,Winnipeg,45 to 54 years,Homme,77300.0
1980,Winnipeg,45 to 54 years,Femme,27000.0
1980,Winnipeg,55 to 64 years,Homme,64900.0
1980,Winnipeg,55 to 64 years,Femme,29300.0
1980,Winnipeg,65 years and over,Homme,37200.0
1980,Winnipeg,65 years and over,Femme,19800.0
1980,Calgary,15 to 24 years,Homme,28600.0
1980,Calgary,15 to 24 years,Femme,24400.0
1980,Calgary,25 to 34 years,Homme,77300.0
1980,Calgary,25 to 34 years,Femme,39500.0
1980,Calgary,35 to 44 years,Homme,102300.0
1980,Calgary,35 to 44 years,Femme,40500.0
1980,Calgary,45 to 54 years,Homme,105800.0
1980,Calgary,45 to 54 years,Femme,37300.0
1980,Calgary,55 to 64 years,Homme,87200.0
1980,Calgary,55 to 64 years,Femme,30900.0
1980,Calgary,65 years and over,Homme,35800.0
1980,Calgary,65 years and over,Femme,17700.0
1980,Edmonton,15 to 24 years,Homme,31100.0
1980,Edmonton,15 to 24 years,Femme,17600.0
1980,Edmonton,25 to 34 years,Homme,74700.0
1980,Edmonton,25 to 34 years,Femme,39600.0
1980,Edmonton,35 to 44 years,Homme,100000.0
1980,Edmonton,35 to 44 years,Femme,40200.0
1980,Edmonton,45 to 54 years,Homme,91400.0
1980,Edmonton,45 to 54 years,Femme,33700.0
1980,Edmonton,55 to 64 years,Homme,76800.0
1980,Edmonton,55 to 64 years,Femme,21900.0
1980,Edmonton,65 years and over,Homme,24000.0
1980,Edmonton,65 years and over,Femme,21800.0
1980,Vancouver,15 to 24 years,Homme,29300.0
1980,Vancouver,15 to 24 years,Femme,20200.0
1980,Vancouver,25 to 34 years,Homme,71400.0
1980,Vancouver,25 to 34 years,Femme,38200.0
1980,Vancouver,35 to 44 years,Homme,96100.0
1980,Vancouver,35 to 44 years,Femme,44900.0
1980,Vancouver,45 to 54 years,Homme,87700.0
1980,Vancouver,45 to 54 years,Femme,38500.0
1980,Vancouver,55 to 64 years,Homme,69400.0
1980,Vancouver,55 to 64 years,Femme,32100.0
1980,Vancouver,65 years and over,Homme,42400.0
1980,Vancouver,65 years and over,Femme,19800.0
1981,Québec,15 to 24 years,Homme,18800.0
1981,Québec,15 to 24 years,Femme,19100.0
1981,Québec,25 to 34 years,Homme,52500.0
1981,Québec,25 to 34 years,Femme,38100.0
1981,Québec,35 to 44 years,Homme,78900.0
1981,Québec,35 to 44 years,Femme,26000.0
1981,Québec,45 to 54 years,Homme,69000.0
1981,Québec,45 to 54 years,Femme,37900.0
1981,Québec,55 to 64 years,Homme,50400.0
1981,Québec,55 to 64 years,Femme,14500.0
1981,Québec,65 years and over,Homme,40100.0
1981,Québec,65 years and over,Femme,17700.0
1981,Montréal,15 to 24 years,Homme,29300.0
1981,Montréal,15 to 24 years,Femme,24700.0
1981,Montréal,25 to 34 years,Homme,60900.0
1981,Montréal,25 to 34 years,Femme,37100.0
1981,Montréal,35 to 44 years,Homme,74500.0
1981,Montréal,35 to 44 years,Femme,39000.0
1981,Montréal,45 to 54 years,Homme,69400.0
1981,Montréal,45 to 54 years,Femme,32300.0
1981,Montréal,55 to 64 years,Homme,60700.0
1981,Montréal,55 to 64 years,Femme,26000.0
1981,Montréal,65 years and over,Homme,24200.0
1981,Montréal,65 years and over,Femme,17000.0
1981,Ottawa,15 to 24 years,Homme,18300.0
1981,Ottawa,15 to 24 years,Femme,19100.0
1981,Ottawa,25 to 34 years,Homme,69000.0
1981,Ottawa,25 to 34 years,Femme,47500.0
1981,Ottawa,35 to 44 years,Homme,80100.0
1981,Ottawa,35 to 44 years,Femme,50900.0
1981,Ottawa,45 to 54 years,Homme,76400.0
1981,Ottawa,45 to 54 years,Femme,37100.0
1981,Ottawa,55 to 64 years,Homme,72200.0
1981,Ottawa,55 to 64 years,Femme,34900.0
1981,Ottawa,65 years and over,Homme,39700.0
1981,Ottawa,65 years and over,Femme,22000.0
1981,Toronto,15 to 24 years,Homme,19000.0
1981,Toronto,15 to 24 years,Femme,18300.0
1981,Toronto,25 to 34 years,Homme,65600.0
1981,Toronto,25 to 34 years,Femme,42300.0
1981,Toronto,35 to 44 years,Homme,83200.0
1981,Toronto,35 to 44 years,Femme,42300.0
1981,Toronto,45 to 54 years,Homme,81800.0
1981,Toronto,45 to 54 years,Femme,37600.0
1981,Toronto,55 to 64 years,Homme,72300.0
1981,Toronto,55 to 64 years,Femme,27400.0
1981,Toronto,65 years and over,Homme,28900.0
1981,Toronto,65 years and over,Femme,20200.0
1981,Winnipeg,15 to 24 years,Homme,26000.0
1981,Winnipeg,15 to 24 years,Femme,18500.0
1981,Winnipeg,25 to 34 years,Homme,64300.0
1981,Winnipeg,25 to 34 years,Femme,31100.0
1981,Winnipeg,35 to 44 years,Homme,67900.0
1981,Winnipeg,35 to 44 years,Femme,27900.0
1981,Winnipeg,45 to 54 years,Homme,76500.0
1981,Winnipeg,45 to 54 years,Femme,33800.0
1981,Winnipeg,55 to 64 years,Homme,63600.0
1981,Winnipeg,55 to 64 years,Femme,25300.0
1981,Winnipeg,65 years and over,Homme,35600.0
1981,Winnipeg,65 years and over,Femme,20700.0
1981,Calgary,15 to 24 years,Homme,38900.0
1981,Calgary,15 to 24 years,Femme,29500.0
1981,Calgary,25 to 34 years,Homme,73800.0
1981,Calgary,25 to 34 years,Femme,40000.0
1981,Calgary,35 to 44 years,Homme,88000.0
1981,Calgary,35 to 44 years,Femme,39600.0
1981,Calgary,45 to 54 years,Homme,104700.0
1981,Calgary,45 to 54 years,Femme,39900.0
1981,Calgary,55 to 64 years,Homme,81300.0
1981,Calgary,55 to 64 years,Femme,30200.0
1981,Calgary,65 years and over,Homme,27400.0
1981,Calgary,65 years and over,Femme,23200.0
1981,Edmonton,15 to 24 years,Homme,33800.0
